symbol,name,website_slug,rank,circulating_supply,total_supply,max_supply,usd_price,usd_volume_24h,usd_market_cap,usd_percent_change_24h,usd_percent_change_7d,btc_price,btc_percent_change_24h,btc_percent_change_7d,perc_market_cap_top100
VET,VeChain,vechain,19,55454734800,86712634466,,0.0138470471,30340440.6381979,767884327,-2.34,-1.45,2.0619e-06,-3.31,-4.32,0.3538654905579778
DOGE,Dogecoin,dogecoin,20,116239053687,116239053687,,0.0056929069,22518544.4824791,661738114,-2.65,-8.5,8.477e-07,-3.62,-11.17,0.30494994375828827
ZEC,Zcash,zcash,21,4851656,4851656,,123.003359016,125510344.590393,596770016,0.45,1.67,0.0183161391,-0.55,-1.29,0.27501058041797
OMG,OmiseGO,omisego,22,140245398,140245398,,3.5620498673,52058218.6532707,499561102,1.53,1.59,0.0005304164,0.52,-1.37,0.23021362490045194
BTG,Bitcoin Gold,bitcoin-gold,23,17247436,17347436,21000000.0,22.2400607654,7228146.02883396,383584027,-0.34,9.54,0.0033117148,-1.33,6.35,0.17676770460319552
LSK,Lisk,lisk,24,110382014,125621140,,3.4253907367,9298470.4239009,378101527,-0.63,-1.92,0.0005100668,-1.62,-4.78,0.1742411944456518
ONT,Ontology,ontology,25,184206203,1000000000,,2.0379049918,98280488.2752436,375394741,7.91,11.0,0.0003034596,6.83,7.76,0.1729938214728662
BCN,Bytecoin,bytecoin-bcn,26,184062363147,184062363147,184470000000.0,0.0019931544,2913587.56493905,366864718,1.33,4.15,2.968e-07,0.32,1.11,0.16906291590905748
QTUM,Qtum,qtum,27,88907660,100907660,,3.8036725287,200914981.808274,338175624,-1.86,9.99,0.0005663959,-2.84,6.78,0.15584207005374945
ZRX,0x,0x,28,539544373,1000000000,,0.6134619521,23816275.2580834,330989945,2.06,6.58,9.13492e-05,1.04,3.47,0.15253068090968222
BTS,BitShares,bitshares,29,2659960000,2659960000,3600570502.0,0.1241268414,11658313.2973231,330172433,0.42,12.7,1.84834e-05,-0.58,9.41,0.15215394541092914
NANO,Nano,nano,30,133248289,133248289,133248290.0,2.4716741566,17805862.2597106,329346353,-5.07,-6.15,0.0003680512,-6.02,-8.89,0.15177326150560425
DCR,Decred,decred,31,8510986,8510986,21000000.0,37.8194905174,1228730.54566901,321881165,1.52,0.22,0.0056316108,0.51,-2.7,0.14833306573543126
MKR,Maker,maker,32,728228,1000000,,431.363140054,1007717.9920022,314130618,1.61,3.92,0.0642332645,0.6,0.89,0.1447613674733209
DGB,DigiByte,digibyte,33,10826215909,10826215909,21000000000.0,0.0261056501,6362700.60932096,282625404,2.27,4.39,3.8873e-06,1.25,1.35,0.1302427640649145
BCD,Bitcoin Diamond,bitcoin-diamond,34,153756875,156756875,210000000.0,1.8344996396,5762857.44499276,282066932,-0.44,-3.82,0.000273171,-1.43,-6.62,0.12998540242684725
ZIL,Zilliqa,zilliqa,35,7780347516,12600000000,,0.0351482286,16558364.5789473,273465433,-2.37,4.22,5.2338e-06,-3.34,1.18,0.12602155845172602
ICX,ICON,icon,36,387431340,800460000,,0.6704565623,29905986.8182429,259755884,0.99,5.59,9.98361e-05,-0.02,2.51,0.11970376277387046
STEEM,Steem,steem,37,278687455,295661549,,0.8575981929,5311313.22288102,239001858,2.4,19.05,0.0001277029,1.38,15.58,0.11013964831898197
AE,Aeternity,aeternity,38,233020472,273685830,,1.0154269014,8268688.07841791,236615256,1.72,1.96,0.0001512048,0.71,-1.01,0.10903982630438751
XVG,Verge,verge,39,15172086051,15172086051,16555000000.0,0.0152217057,12508083.2431189,230945029,1.41,15.21,2.2666e-06,0.4,11.85,0.10642680558189256
SC,Siacoin,siacoin,40,36977822222,36977822222,,0.0058626769,6304174.58292886,216789024,1.52,8.39,8.73e-07,0.51,5.23,0.09990326879707914
WAVES,Waves,waves,41,100000000,100000000,,2.150351339,10974176.8696292,215035134,-4.83,-6.89,0.0003202037,-5.78,-9.6,0.09909502057086586
BTM,Bytom,bytom,42,1002499275,1407000000,,0.1838626715,66133845.1909863,184322195,0.78,8.43,2.73786e-05,-0.23,5.27,0.08494152264993193
ETP,Metaverse ETP,metaverse,43,51692255,56426388,100000000.0,3.5068446932,6083583.82144239,181276709,0.79,4.13,0.0005221959,-0.22,1.09,0.0835380659579744
BAT,Basic Attention Token,basic-attention-token,44,1000000000,1500000000,,0.1766708488,6716012.4508948,176670849,5.7,12.59,2.63076e-05,4.65,9.31,0.08141553935984869
NPXS,Pundi X,pundi-x,45,114412266966,280255193861,,0.0014706358,7570379.02145309,168258776,0.21,-0.4,2.19e-07,-0.79,-3.3,0.0775389889028493
REP,Augur,augur,46,11000000,11000000,,13.5367546325,5353629.16418841,148904301,0.67,-1.05,0.0020157261,-0.33,-3.94,0.06861983200701241
STRAT,Stratis,stratis,47,99023713,99023713,,1.4892394472,2954904.14814774,147470020,4.91,3.5,0.0002217591,3.86,0.48,0.06795886976072478
HOT,Holo,holo,48,133214575156,177619433541,,0.0010773764,9836649.08094246,143522237,-6.23,-5.43,1.604e-07,-7.17,-8.19,0.06613960594872689
GNT,Golem,golem-network-tokens,49,959242000,1000000000,,0.1470520592,3385384.4923081,141058511,0.09,12.59,2.18972e-05,-0.91,9.31,0.06500424274500514
SNT,Status,status,50,3470483788,6804870174,,0.0375478002,11949344.4599843,130309032,-0.5,14.21,5.5912e-06,-1.49,10.88,0.06005054135297545
MOAC,MOAC,moac,51,62463334,151205864,,2.0244698595,1361142.30560499,126455136,7.19,7.6,0.000301459,6.12,4.46,0.0582745436529997
KMD,Komodo,komodo,52,109806662,109806662,,1.1461090973,1013281.67087343,125850414,0.4,12.53,0.0001706644,-0.6,9.25,0.05799586854575116
RHOC,RChain,rchain,53,382168690,870663574,1000000000.0,0.3220458512,351361.893308312,123075841,4.14,-1.71,4.79551e-05,3.1,-4.58,0.05671725717003816
WTC,Waltonchain,waltonchain,54,40144099,70000000,100000000.0,3.0397601035,11894055.5759947,122028432,-3.14,-1.46,0.0004526435,-4.11,-4.33,0.056234577830758144
MAID,MaidSafeCoin,maidsafecoin,55,452552412,452552412,,0.267391523,1435874.11005803,121008679,1.67,10.59,3.98166e-05,0.66,7.37,0.055764643254800884
LINK,Chainlink,chainlink,56,350000000,1000000000,,0.3440578049,5693720.58433951,120420232,-3.49,26.98,5.12328e-05,-4.45,23.28,0.05549346818454532
CNX,Cryptonex,cryptonex,57,55473099,106921824,210000000.0,2.1617305371,4958929.93913997,119917892,3.79,2.72,0.0003218982,2.75,-0.28,0.05526197395517177
MITH,Mithril,mithril,58,387392092,1000000000,,0.2992832865,21190399.383452,115939978,1.57,11.98,4.45656e-05,0.56,8.72,0.05342882482123008
PPT,Populous,populous,59,37004027,53252246,53252246.0,3.1210926682,3294439.32700907,115492997,0.59,-8.2,0.0004647545,-0.41,-10.88,0.05322284177759505
ARDR,Ardor,ardor,60,998999495,998999495,998999495.0,0.113811513,2399520.25501813,113697644,-0.58,14.79,1.69474e-05,-1.57,11.44,0.05239548608386471
IOST,IOST,iostoken,61,8400000000,21000000000,,0.0130282992,15302684.8849444,109437714,-0.74,8.39,1.94e-06,-1.73,5.23,0.05043237501857969
WAN,Wanchain,wanchain,62,106152493,210000000,,1.02025779,3975003.26964427,108302908,1.81,12.68,0.0001519242,0.79,9.39,0.04990942036543941
KCS,KuCoin Shares,kucoin-shares,63,90730576,180730576,,1.1422159669,304873.468590903,103633913,1.51,4.47,0.0001700847,0.5,1.42,0.04775779915376212
HSR,Hshare,hshare,64,43511039,43511039,84000000.0,2.3631357965,2900658.19036187,102822493,-0.13,5.14,0.000351889,-1.13,2.07,0.04738387104212799
AION,Aion,aion,65,223640562,465934587,,0.45885758,2050995.87679443,102619167,-1.32,2.76,6.83274e-05,-2.3,-0.24,0.04729017196245763
RDD,ReddCoin,reddcoin,66,28808713174,28808713174,,0.0033882897,2930169.65865653,97612267,-2.8,-4.01,5.045e-07,-3.77,-6.81,0.04498283339286245
TUSD,TrueUSD,trueusd,67,93536599,93536599,,1.0015015553,26397712.2805618,93677049,0.01,0.04,0.0001491312,-0.99,-2.88,0.04316935993200539
MONA,MonaCoin,monacoin,68,62440800,62440800,,1.4666499164,14836798.1483632,91578794,10.99,53.1,0.0002183954,9.88,48.64,0.04220241737466533
AOA,Aurora,aurora,69,3462724441,10000000000,,0.0262621502,1021523.52080016,90938589,-11.21,28.54,3.9106e-06,-12.1,24.79,0.041907390573860906
HT,Huobi Token,huobi-token,70,50000200,500000000,,1.7907703174,25516139.1780834,89538874,0.26,4.39,0.0002666594,-0.74,1.35,0.041262357438399656
FUN,FunFair,funfair,71,5010848189,10999873621,,0.0176648969,1501429.95858476,88516117,-1.21,26.92,2.6304e-06,-2.2,23.22,0.04079103852381709
DROP,Dropil,dropil,72,21692471373,30000000000,,0.0040737544,222143.006012612,88369800,-5.41,-4.0,6.066e-07,-6.35,-6.8,0.04072361100229929
DCN,Dentacoin,dentacoin,73,325226613094,1963173416169,8000000000000.0,0.0002691917,113987.510881966,87548307,0.73,0.09,4.01e-08,-0.28,-2.83,0.04034504093228542
ELF,aelf,aelf,74,250000000,280000000,1000000000.0,0.350014358,9891863.13422301,87503589,2.07,7.44,5.21198e-05,1.05,4.31,0.040324433457369774
BNT,Bancor,bancor,75,53475351,78144549,,1.531541205,3481655.693415,81899704,5.21,10.39,0.0002280582,4.16,7.17,0.03774198523590022
MANA,Decentraland,decentraland,76,1050141509,2644403343,,0.0769752826,4868196.4408371,80834939,-4.61,11.85,1.14622e-05,-5.56,8.59,0.03725130770048809
PAY,TenX,tenx,77,109307861,205218256,,0.7231900928,6068255.48758494,79050362,2.81,12.32,0.0001076885,1.78,9.05,0.03642891792986905
QASH,QASH,qash,78,350000000,1000000000,,0.2254032068,704370.386947294,78891122,5.27,5.25,3.35643e-05,4.22,2.18,0.03635553507943817
ZEN,Horizen,zencash,79,4771588,4771588,21000000.0,16.1160884951,685688.728567671,76899326,2.01,-0.19,0.0023998086,0.99,-3.1,0.03543765221108342
DGD,DigixDAO,digixdao,80,2000000,2000000,,37.6721775668,620343.208284685,75344355,2.6,3.78,0.0056096748,1.58,0.75,0.034721072178947376
ARK,Ark,ark,81,105315060,136565060,,0.7143092848,782940.066160325,75227525,-0.51,7.21,0.0001063661,-1.5,4.08,0.03466723320371603
GXS,GXChain,gxchain,82,60000000,100000000,100000000.0,1.2162085661,5888642.10865927,72972514,5.63,12.85,0.0001811027,4.58,9.56,0.033628052502052044
POWR,Power Ledger,power-ledger,83,384206578,1000000000,,0.1894449613,31676609.8977048,72786000,16.38,36.49,2.82098e-05,15.22,32.51,0.03354210092603306
NXT,Nxt,nxt,84,998999942,998999942,1000000000.0,0.0727908756,2184776.50184226,72718080,4.18,11.64,1.08391e-05,3.14,8.38,0.03351080123248078
ETN,Electroneum,electroneum,85,7948715350,7948715350,21000000000.0,0.0088061657,1209476.61324461,69997705,18.6,58.84,1.3113e-06,17.42,54.21,0.032257166016825885
MCO,Crypto.com,crypto-com,86,15793831,31587682,,4.3152088282,7703812.6136462,68153679,-3.68,-1.81,0.0006425675,-4.64,-4.67,0.031407380258545045
NAS,Nebulas,nebulas-token,87,45500000,100000000,100000000.0,1.4464197117,4896658.00918026,65812097,-1.87,3.97,0.0002153829,-2.85,0.94,0.030328304890059592
CMT,CyberMiles,cybermiles,88,697343507,1000000000,,0.0918483482,11228955.595787,64049849,-0.37,14.77,1.36769e-05,-1.36,11.42,0.029516205031945394
WAX,WAX,wax,89,932901783,1850000000,,0.067737009,447965.084083876,63191976,-1.95,17.8,1.00866e-05,-2.93,14.37,0.029120869902281465
XIN,Mixin,mixin,90,442996,1000000,,141.196516973,50104.5076519261,62549426,-0.92,-18.49,0.0210252393,-1.91,-20.87,0.02882476245098558
DRGN,Dragonchain,dragonchain,91,238421940,433494437,,0.2618047097,1102196.44622482,62419987,0.46,13.45,3.89847e-05,-0.54,10.14,0.02876511284801571
THETA,Theta Token,theta-token,92,684002689,1000000000,,0.0900516652,3859127.53055713,61595581,-0.53,7.27,1.34094e-05,-1.52,4.14,0.02838520037506724
BTCP,Bitcoin Private,bitcoin-private,93,20524490,20524490,21000000.0,2.9926354582,98306.2219607135,61422317,-2.79,2.75,0.0004456263,-3.76,-0.25,0.028305354819948836
EMC,Emercoin,emercoin,94,42118422,42118422,,1.458183495,1044752.78404169,61416388,18.57,22.5,0.0002171347,17.39,18.93,0.02830262254840774
PIVX,PIVX,pivx,95,56781166,56781166,,1.0388304646,849419.2279732,58986005,8.7,16.28,0.0001546898,7.62,12.89,0.02718262485826245
LRC,Loopring,loopring,96,572074043,1374956262,,0.1028176418,2381767.94763232,58819304,5.27,9.34,1.53103e-05,4.22,6.15,0.02710580374202484
KIN,Kin,kin,97,756097560976,10000000000000,,7.41986e-05,449676.759152315,56101350,13.99,14.01,1.1e-08,12.85,10.69,0.02585328420007563
LOOM,Loom Network,loom-network,98,592160148,1000000000,,0.0935270257,5605005.46654426,55382977,7.93,16.27,1.39269e-05,6.85,12.88,0.025522235101780116
ELA,Elastos,elastos,99,7701923,33589801,,7.1763050683,2793143.38938335,55271352,-0.24,-13.35,0.0010686066,-1.24,-15.88,0.02547079475589123
XZC,ZCoin,zcoin,100,5694135,5694135,21400000.0,9.6473656837,933802.849275187,54933405,2.76,-5.7,0.0014365664,1.73,-8.45,0.02531505804303917
