symbol,name,website_slug,rank,circulating_supply,total_supply,max_supply,usd_price,usd_volume_24h,usd_market_cap,usd_percent_change_24h,usd_percent_change_7d,btc_price,btc_percent_change_24h,btc_percent_change_7d,perc_market_cap_top100
BTC,Bitcoin,bitcoin,1,17281400,17281400,21000000.0,6715.5724258,6146544991.98871,116054493319,1.01,3.0,1.0,0.0,0.0,53.481597117928274
ETH,Ethereum,ethereum,2,102112065,102112065,,240.862065398,2765074107.90919,24594922863,6.58,11.78,0.0358662002,5.52,8.52,11.334121739602999
XRP,XRP,ripple,3,39809069106,99991841593,100000000000.0,0.5852035038,4848904248.0954,23296406723,25.43,109.47,8.71413e-05,24.18,103.36,10.735724253521022
BCH,Bitcoin Cash,bitcoin-cash,4,17361775,17361775,21000000.0,482.539972587,568496608.893553,8377750433,1.11,7.04,0.0718538856,0.1,3.92,3.860733527832319
EOS,EOS,eos,5,906245118,1006245120,,5.9372857675,1026946239.40846,5380636239,2.87,11.11,0.0008841072,1.84,7.87,2.479568100662338
XLM,Stellar,stellar,6,18785414663,104303927518,,0.2411344032,174842132.819254,4529809753,-1.3,18.95,3.59068e-05,-2.28,15.48,2.087480228489749
LTC,Litecoin,litecoin,7,58399881,58399881,84000000.0,59.5392923708,386814261.750258,3477087608,3.15,3.83,0.0088658551,2.12,0.8,1.6023524232159325
USDT,Tether,tether,8,2806421736,3080109502,,0.9991210854,5218304453.61566,2803955131,-0.11,-0.1,0.0001487768,-1.11,-3.01,1.2921515950329767
ADA,Cardano,cardano,9,25927070538,31112483745,45000000000.0,0.0832243241,187960024.617654,2157762921,-1.33,20.97,1.23927e-05,-2.31,17.44,0.9943656976703473
XMR,Monero,monero,10,16427262,16427262,,122.548905498,41052667.6529758,2013142964,2.81,2.16,0.0182484676,1.78,-0.82,0.927720227475357
DASH,Dash,dash,11,8334097,8334097,18900000.0,205.091023917,206627795.975558,1709248390,-0.73,8.17,0.0305396191,-1.72,5.02,0.7876759542362476
MIOTA,IOTA,iota,12,2779530283,2779530283,2779530283.0,0.6025885631,50348270.4888304,1674913159,4.13,4.24,8.973e-05,3.09,1.2,0.7718531890956895
TRX,TRON,tron,13,65748111645,99000000000,,0.022905897,277298374.351473,1506019475,0.56,14.32,3.4109e-06,-0.44,10.99,0.6940216144179007
NEO,NEO,neo,14,65000000,100000000,100000000.0,19.0154197329,119710665.064071,1236002283,0.98,4.78,0.0028315412,-0.03,1.72,0.5695891149560804
ETC,Ethereum Classic,ethereum-classic,15,104724845,104724845,,11.4949346356,242988926.639269,1203805248,1.57,2.9,0.0017116835,0.56,-0.1,0.5547516984544315
BNB,Binance Coin,binance-coin,16,112443301,192443301,,10.2826054843,31274622.3816417,1156210104,1.35,1.86,0.0015311585,0.34,-1.11,0.5328183441879919
XTZ,Tezos,tezos,17,607489041,763306930,,1.6789884993,4357713.91906575,1019967113,-3.05,0.75,0.0002500142,-4.02,-2.19,0.4700332460291892
XEM,NEM,nem,18,8999999999,8999999999,,0.0957105004,18504726.5367351,861394504,1.01,5.9,1.4252e-05,0.0,2.81,0.39695795057151356
