symbol,name,website_slug,rank,circulating_supply,total_supply,max_supply,usd_price,usd_volume_24h,usd_market_cap,usd_percent_change_24h,usd_percent_change_7d,btc_price,btc_percent_change_24h,btc_percent_change_7d,perc_market_cap_top100
QASH,QASH,qash,82,350000000,1000000000,,0.458599,1307260.0,160509650,-5.24,-14.5,6.32484e-05,-0.48,-8.94,0.052647050007332205
SYS,Syscoin,syscoin,83,535100952,535100952,888000000.0,0.292362,816643.0,156443185,-8.05,-19.61,4.03216e-05,-3.43,-14.39,0.05131325240570473
POLY,Polymath,polymath-network,84,276420107,1000000000,,0.558463,4064860.0,154370402,-9.02,-23.67,7.70213e-05,-4.45,-18.71,0.050633381069275125
MITH,Mithril,mithril,85,306417022,1000000000,,0.499882,50337300.0,153172354,-11.02,-23.11,6.8942e-05,-6.55,-18.11,0.050240422185076045
FSN,Fusion,fusion,86,29684331,57344000,,5.07631,5065420.0,150686867,-7.32,-18.2,0.0007001073,-2.66,-12.88,0.04942518423283097
LOOM,Loom Network,loom-network,87,605903829,1000000000,,0.243294,6583000.0,147412766,-11.33,-36.3,3.35543e-05,-6.87,-32.16,0.04835128145454906
FUN,FunFair,funfair,88,4858654389,10999873621,,0.030118,1693330.0,146332953,-10.14,-15.85,4.1538e-06,-5.63,-10.38,0.04799710356549649
VERI,Veritaseum,veritaseum,89,2036645,100000000,,70.4017,1149990.0,143383301,-8.01,-28.62,0.0097095615,-3.39,-23.98,0.04702961982636786
NULS,Nuls,nuls,90,40000000,40000000,,3.45986,2380710.0,138394400,-4.61,-13.41,0.000477172,0.18,-7.78,0.045393263878743345
SUB,Substratum,substratum,91,383021000,472000000,,0.351431,3608100.0,134605453,-4.23,-21.2,4.84682e-05,0.58,-16.08,0.04415049198195003
KIN,Kin,kin,92,756097560976,10000000000000,,0.000177155,476423.0,133946463,-3.02,-11.52,2.44e-08,1.85,-5.77,0.04393434373488618
CENNZ,Centrality,centrality,93,775962198,1200000000,,0.171457,99577.0,133044151,-10.67,-14.3,2.36468e-05,-6.18,-8.73,0.043638386046446785
XZC,ZCoin,zcoin,94,4939183,4939183,21400000.0,26.8964,703191.0,132846231,-4.34,-9.31,0.0037094594,0.47,-3.42,0.04357346842848767
NXT,Nxt,nxt,95,998999942,998999942,1000000000.0,0.128737,3682420.0,128608255,-7.34,-13.24,1.7755e-05,-2.68,-7.6,0.04218341534194818
THETA,Theta Token,theta-token,96,638956089,1000000000,,0.195747,18165500.0,125073738,-9.15,-26.41,2.69968e-05,-4.59,-21.63,0.04102409630255855
DRGN,Dragonchain,dragonchain,97,238421940,433494437,,0.523486,897738.0,124810548,-5.47,-20.64,7.21974e-05,-0.72,-15.48,0.04093777017144164
ETN,Electroneum,electroneum,98,7143898988,7143898988,21000000000.0,0.0173364,594399.0,123849490,-9.82,-16.73,2.391e-06,-5.29,-11.32,0.04062254383716238
HOT,Holo,holo,99,133214575156,177619433541,,0.00092242,3749920.0,122879788,-7.17,-12.56,1.272e-07,-2.51,-6.88,0.04030448227708664
FCT,Factom,factom,100,8745102,8745102,,14.0007,284786.0,122437550,-6.78,-15.42,0.0019309286,-2.1,-9.92,0.040159428530466786
